media_group_id,country,project,media_article_0,media_article_1,media_article_2,media_article_3,media_article_4,media_article_5,media_article_6,media_article_7,media_article_8,media_article_9,media_article_10,media_article_11,media_article_12,media_article_13,media_article_14,media_article_15,media_article_16,media_article_17,media_article_18,media_article_19,media_article_20,media_article_21,media_article_22,media_article_23,media_article_24,media_article_25,media_article_26,media_article_27,media_article_28,media_article_29,media_article_30,media_label_0,media_label_1,media_label_2,media_label_3,media_label_4,media_label_5,media_label_6,media_label_7,media_label_8,media_label_9,media_label_10,media_label_11,media_label_12,media_label_13,media_label_14,media_label_15,media_label_16,media_label_17,media_label_18,media_label_19,media_label_20,media_label_21,media_label_22,media_label_23,media_label_24
LDA_c0_g7,0,media,The Advocate (LGBT magazine),Diapers,El País,Jet (magazine),Government gazette,The Globe and Mail,Die Welt,Sunday Mirror,National Geographic,Anandabazar Patrika,Media in Toronto,Crain Communications,Daily Mirror,Gazette,Newspaper,Bonnier Group,I (newspaper),Press Holdings,Jiaxing Media,NRC Handelsblad,Publishing,Toronto Star,Hindustan Times,Berliner (format),The Post and Courier,The Jewish Chronicle,Ladies' Home Journal,Haymarket Media Group,Yomiuri Shimbun,Newspaper circulation,Galaxy Science Fiction,,,newspaper of record,publish,,newspapers,publication,newspapers,newspaper,published,publisher,magazine,establishments by year,paper,editor,circulation,,news,publications by decade of establishment,broadsheet,newspapers by country,weekly newspaper,,,newspaper stubs
kmeans_augmented_c0_g7,0,media,Ms. (magazine),Controversy,The New Yorker,Charlie Rose,Bomis,Trial balloon,The Japan Times,Bernie Bro,Afghan War documents leak,The Guardian,C-SPAN,History of propaganda,Dan Harris (journalist),George Orwell,Ladies' Home Journal,CNN controversies,Culture of fear,Four-leaf clover,Sound bite,The Jewish Chronicle,Matt Drudge,Media of the United States,Donny Deutsch,Tokenism,Mistakes were made,24-hour news cycle,Al Jazeera controversies and criticism,Terry Moran,Alfred Eisenstaedt,Big Think,Non-denial denial,man,pulitzer prize,american journalism,years,states,describe,post,cnn,,war,life,,politics of the united states,times,propaganda,the new york times,journalism,american,find,claim,isbn,media in the united states,reporting,new york times,american journalists
kmeans_plain_c4_g11,4,media,Comparison of MIDI editors and sequencers,Timecode,Rainbow Books,Digital signal processing,Standard (warez),Light,Film scanner,MPEG-H,Digital audio,Smart TV,Second screen,Module file,Telesync,Lmao,WiDi,DVD,MiniDVD,Digital video recorder,PAL,ISDB,Ambarella Inc.,Cassette tape adaptor,Magnetic tape,Spread spectrum,Acoustics,Pentax,8-track tape,Digital television,Digital signage,Digital radio,Ultra-high-definition television,high efficiency video coding,formats,single,video,developed,information and communications technology,standard,optical disc,introduce,digital media,develop,dvd,video,standards,,tape,moving picture experts group,audio,sensor,sony,systems,electronics,media technology,uses,software
kmeans_plain_c1_g0,1,media,Eurosport,State media,Mistake,Media of Russia,STS (TV channel),Alexander Lebedev,Hellenic Broadcasting Corporation,BBC Sport,Virgin Media,Radiotelevizija Slovenija,Skai TV,Chinese Wikipedia,Mondo TV,Yle,Bauer Media Group,BeIN Channels Network,Telegraph Media Group,News agency,Bloomberg L.P.,Gazprom-Media,Ofcom,Al Jazeera,Virgin TV,Al Jazeera Media Network,"Tony Hall, Baron Hall of Birkenhead",Censorship in Saudi Arabia,Rupert Murdoch,Bouygues,Die Welt,NRC Handelsblad,Al Jazeera English,edition,establishments by country and year,reporters without borders,media in europe by country,service,community,establishments in europe by year,media,newspaper,regional,bbc,,media by country,radio station,group,russian,serve,reference,broadcast,news,london,united kingdom,government,establishments by year and country,bbc
kmeans_plain_c1_g18,1,media,UBM plc,Reuters Group,Daily Mirror,TNT (Russian TV channel),Grupo Globo,Berliner (format),Hellenic Broadcasting Corporation,Telegraph Media Group,Virgin TV,Guardian Media Group,Algemeen Dagblad,Lists of newspapers,Al Mayadeen,Censorship in Saudi Arabia,Mega Channel,Ofcom,Al Jazeera,RIA Novosti,CNN International,Bonnier Group,Rossiya Segodnya,Television in Russia,Concentration of media ownership,Independent Press Standards Organisation,Ofcom,Yomiuri Shimbun,Public inquiry,Sky News,Guardian Media Group,Singapore Press Holdings,,united kingdom,bbc,service,serve,group,establishments in europe by year,reporters without borders,media in europe by country,edition,establishments by year and country,government,radio station,bbc,community,reference,,establishments by country and year,london,broadcast,media by country,media,newspaper,russian,regional,news
kmeans_augmented_c5_g18,5,media,Fleischer Studios,Reggae,Women in music,Watershed (broadcasting),Jazz,Lists of singers,Thomas Edison,Publicity stunt,Graphic violence,Max Clifford,Scenic design,Production coordinator,Bumper (broadcasting),Self-publishing,Fox Searchlight Pictures,Video art,Gaffer (filmmaking),Media portrayal of lesbianism,Jessica Feshbach,Galaxy Science Fiction,Lmao,Demi's Birthday Suit,Jawed Karim,BDSM in culture and media,Product placement,David Lean,Northern soul,Fangoria,Soul music,Zoo TV Tour,University of the Arts London,features,jazz,years,filmmaking,april,screenplay,music,production,programme,youtube,character,broadcasting,films,artists,fox,,film,film,entertainment occupations,abc,entertainment,,film theory,arts,released
kmeans_plain_c6_g23,6,media,Frank Reynolds,Leveson Inquiry,Buckminster Fuller,LiveLeak,The Daily Stormer,Media bias in the United States,Bernie Ward,VDARE,Weekly World News,Anonymous (group),J. Walter Thompson,LGBT in Islam,Tabloid journalism,Pulitzer Prize for Breaking News Photography,Matt Drudge,Spiral of silence,Media portrayal of the Ukrainian crisis,Disinformation,Censorship,Tucker Carlson,Godey's Lady's Book,Bleach,Rachel Maddow,Newsweek,Neal Boortz,Amy Goodman,The Post and Courier,Embedded journalism,Jessica McClure,Big Think,Iraq War documents leak,media in the united states,american journalists,abc news,cbs,production,american,life,new york times,births by decade,isbn,politics of the united states,the new york times,states,pulitzer prize,president,post,war,reporting,,times,years,find,claim,propaganda,msnbc
kmeans_plain_c2_g8,2,media,Script supervisor,Silence,YouTube Rewind,Soul music,Fleischer Studios,Gimmick,Heart (symbol),Mixtape,La Academia,Web series,Production assistant,Dolly grip,Jawed Karim,GLAAD,Stock sound effect,Musical ensemble,Channel Awesome,Groucho Club,Sexuality in music videos,Commercial art,Tyler Brûlé,Captain Future,Magneto in other media,Video art,Watershed (broadcasting),Demi's Birthday Suit,Primetime Emmy Award for Outstanding Animated Program,Fangoria,Fucking Machines,Gaffer (filmmaking),Diapers,film theory,fox,entertainment,,programme,released,artists,film,april,filmmaking,music,production,youtube,years,film,screenplay,character,jazz,abc,filmmaking,broadcasting,arts,,films,features
kmeans_plain_c3_g16,3,media,Citizen media,Crisis communication,Information design,Narcotizing dysfunction,Narrowcasting,Overchoice,Publishing,Influence of mass media,Internet,Communication,Audience,Motion graphic design,Priming (media),Social media,Lmao,Advertising campaign,Inoculation theory,Message,Marshall McLuhan,Blog,Wattpad,Target audience,News,Culture industry,Conversation,Old media,Performance-based advertising,Corporate media,Media activism,Information explosion,Political communication,,mass media,form,humanities,style,character,communication studies,,go,marketing,society,,advertising,studies,communication,information,social media,media,come,different,,interview,social sciences,,communication
kmeans_plain_c6_g26,6,media,Bernie Ward,Media portrayal of the Ukrainian crisis,Vanilla,Instapundit,Cult of personality,Ed Schultz,Bob Woodruff,Bloody Saturday (photograph),Atrocity propaganda,Iraq War documents leak,Echo chamber (media),Buckminster Fuller,Spiral of silence,Rachel Maddow,Adbusters,Tucker Carlson,Pat Robertson,Tokenism,Disconnection,Black propaganda,Sarah Koenig,Body worn video,Media Matters for America,Fresh Air,Tom Wheeler,Misinformation,The Japan Times,History of propaganda,The New York Times,Terry Moran,Leveson Inquiry,claim,states,abc news,the new york times,post,years,reporting,cbs,msnbc,,politics of the united states,president,life,isbn,media in the united states,births by decade,find,american journalists,new york times,american,pulitzer prize,times,war,production,propaganda
kmeans_augmented_c5_g3,5,media,Channel Awesome,Publicist,GLAAD,Andy Warhol,Entertainment,Production designer,Zoo TV Tour,Fox Searchlight Pictures,Jessica Feshbach,Reggae,Primetime Emmy Award for Outstanding Animated Program,Music,VidCon,The Entertainment Capital of the World,Media portrayal of lesbianism,Popular music,Video art,Galaxy Science Fiction,Media portrayal of LGBT people,Street performance,Executive producer,Jayne Mansfield-Sophia Loren photo,Sampling (music),Camera operator,Nelvana,Baby Powder,Television advertisement,Mainstream,Mashup (video),Willie Gillis,Lists of celebrities,fox,film,character,youtube,broadcasting,jazz,features,screenplay,entertainment,production,music,artists,filmmaking,,film theory,years,arts,entertainment occupations,abc,programme,film,films,april,,released
kmeans_plain_c6_g18,6,media,Racial bias in criminal news in the United States,Yellow journalism,Bernie Ward,Al Jazeera controversies and criticism,Bleach,Amy Goodman,Polandball,The Young Turks,The Post and Courier,Alternative media,RT (TV network),Robert Novak,Cal Thomas,Disinformation,Neal Boortz,Buckminster Fuller,Project Chanology,Bill Moyers,Ed Schultz,Misinformation,Censorship in the Soviet Union,Maricopa County Sheriff's Office controversies,Media Matters for America,Zine,Fairness and Accuracy in Reporting,Women in journalism,Al Franken,Russia Insider,Edward R. Murrow,USA Today,RYOT,war,american journalists,births by decade,cbs,states,abc news,isbn,american,claim,times,msnbc,the new york times,post,life,president,production,,politics of the united states,reporting,propaganda,media in the united states,find,pulitzer prize,years,new york times
LDA_c3_g24,3,media,5 Gold Rings,Cal Thomas,George Eaton (journalist),Bill Moyers,Cause célèbre,The Walt Disney Company,Ben Sherwood,John Kluge,Julie Chen,Film festival,Doctor Doom in other media,Pulitzer Prize,Elijah Daniel,Rough Trade Records,Freedom of Speech (painting),Rush Limbaugh,Sarah Koenig,Groucho Club,Movie star,National Science and Media Museum,Army Times,Channel Awesome,Katie Nolan,"Wizard People, Dear Reader",Frank Reynolds,Bleach,Fleischer Studios,Fuck (film),Vision (Marvel Comics),Howard Hughes,View of the World from 9th Avenue,,series,career,new york city,john,the new york times,new_york,survivors,births by decade,years,producer,award,years,gold ,life,,worked,cnn,abc news,year,work,film,,people,20th-century births
kmeans_plain_c6_g6,6,media,Embedded journalism,Serial (podcast),LGBT rights in Pakistan,Sean Hannity,Mortimer Zuckerman,Tokenism,Adbusters,Lmao,Bob Woodruff,Conrad Black,Sensationalism,Videos and audio recordings of Osama bin Laden,Censorship in the Soviet Union,Rush Limbaugh–Sandra Fluke controversy,The Guardian,Jet (magazine),Sensationalism,Bomis,Pat Robertson,Instapundit,C-SPAN,Cause célèbre,Cindy Sheehan,Pulitzer Prize for Criticism,Russia Insider,Body worn video,Michael Bloomberg,George Orwell,Buckminster Fuller,Buckminster Fuller,Spin (propaganda),pulitzer prize,production,war,politics of the united states,births by decade,times,cbs,life,states,reporting,isbn,media in the united states,the new york times,post,years,president,abc news,,propaganda,claim,american,find,msnbc,american journalists,new york times
LDA_c1_g1,1,media,ABP Group,Asia-Pacific Broadcasting Union,Zee Entertainment Enterprises,News agency,Mac n' Cheetos,Lists of newspapers,Media freedom in Russia,TASS,Gazprom-Media,Alexander Lebedev,Interfax,Censorship in Turkey,European Broadcasting Union,Zee 24 Ghanta,News agency,Voice of Russia,RIA Novosti,Zee TV,Media portrayal of the Ukrainian crisis,Anadolu Agency,Yle,Agence France-Presse,TASS,Axel Springer SE,Bertelsmann,Media of Turkey,Rossiya Segodnya,Zee Business,Television in Russia,Media of Russia,Independent Press Standards Organisation,,government,russian,freedom,mass media by location,freedom house,news_agency,reporters without borders,cultural media,,country,medium,news agency,,woman,press,journalist,media by country,sage publications,journalists,culture by country,media,,academic journal,communications by country
LDA_c2_g10,2,media,Out-of-home advertising,History of advertising,24-hour news cycle,Like button,Pandit,Infotainment,Media richness theory,Media portrayal of LGBT people,Tamarind,Exhibition,Censorship in China,Concept testing,Priming (media),Media relations,Walter Lippmann,News Feed,Demographic profile,Culture jamming,Gatekeeping (communication),Media planning,Facebook like button,Political campaign,Future Shock,Media (communication),Conversation,Parasocial interaction,Advertising,Subliminal stimuli,Novara Media,Black propaganda,Personality rights,references,,advertising,social sciences,medium,,,communication studies,people,society,research,mass media,,marketing,social_media,information,social,,behavior,communication,studies,communication,use,,social media
kmeans_augmented_c4_g7,4,media,ABP News,Subhash Chandra,Prothom Alo,Punjab Kesari,Media of India,News Nation,Rajasthan Patrika,The Hindu,Pakistan Electronic Media Regulatory Authority,CNBC Awaaz,India News,Radia tapes controversy,TEN Cricket,Zee Entertainment Enterprises,Jalsha Movies,History of newspaper publishing,Anandabazar Patrika,Bleach,Zee Business,D B Corp Ltd.,The Times Group,ABP Group,Hindustan (newspaper),Navbharat Times,ABP Ananda,Geo TV,Dainik Bhaskar,Zee TV,NDTV India,Zee Bangla,Bartaman,indian,,washington post,launched,media companies of india,hindi,editorial,english,news media of india,india,india,national,political,media in india,law,media in india by medium,channels,media in india by city,,,delhi,mumbai,hindi,references,pakistan
kmeans_plain_c6_g32,6,media,ProPublica,Grub Street,Controversy,CNN effect,Michael Moore,Dumbing down,Common Dreams,VDARE,LGBT in Islam,Matt Drudge,Cal Thomas,Videos and audio recordings of Osama bin Laden,The Jerusalem Post,Terry Moran,Intelligence Squared,Media bias in the United States,Serial (podcast),Seymour Hersh,Bill Moyers,National Post,Walter Lippmann,Barack Obama on social media,Barack Obama on social media,The Daily Stormer,Pulitzer Prize for Criticism,C-SPAN,Jessica McClure,The Young Turks,Project Chanology,Whataboutism,,the new york times,media in the united states,births by decade,life,american journalists,president,post,,times,find,msnbc,war,states,reporting,propaganda,cbs,claim,production,isbn,pulitzer prize,politics of the united states,years,american,new york times,abc news
kmeans_augmented_c6_g1,6,media,Media freedom in Russia,BBC,Interfax,RIA Novosti,BBC Sport,Public inquiry,Reuters Group,Press Holdings,Bell Pottinger,ABS-CBN,Independent Press Standards Organisation,Station identification,Televisión Española,Baby Powder,Al Jazeera Media Network,Lists of newspapers,Censorship in Saudi Arabia,BBC Cymru Wales,NOS (Portuguese media company),IHS Markit,Deutsche Welle,Asia-Pacific Broadcasting Union,Antena 3 (Spain),Sky News,Mediaset,Radiotelevizija Slovenija,Skai TV,ABS-CBN News Channel,Middle-market newspaper,STS (TV channel),Virgin TV,news,bbc,london,establishments by country and year,media in europe by country,group,newspaper,tv,united kingdom,reference,radio station,edition,establishments by year and country,establishments in europe by year,community,media by country,radio,reporters without borders,bbc,regional,government,serve,broadcast,service,media
kmeans_plain_c3_g1,3,media,Graphic communication,Political campaign,Media richness theory,Data journalism,Mass communication,Media consumption,Social media and political communication in the United States,Communication studies,Advertising campaign,Media manipulation,Communication ethics,Mac n' Cheetos,Out-of-home advertising,Marketing,Media psychology,Social media,Infotainment,Political communication,Narcotizing dysfunction,Media planning,Media buying,Article marketing,Media event,Individuation,Media management,Media culture,Photography,History of printing,Media and gender,Concept testing,Audience measurement,social sciences,different,studies,social media,communication studies,society,,marketing,go,,information,humanities,,come,style,advertising,character,media,interview,,communication,,communication,mass media,form
kmeans_plain_c6_g2,6,media,Jet (magazine),Hustler Magazine v. Falwell,Ladies' Home Journal,George Orwell bibliography,Inquisitr,The New Yorker,Incipit,Dumbing down,George Orwell,White propaganda,Censorship,Bill Moyers,Christopher Hitchens,Air America (radio network),Culture jamming,Polandball,Iraq War documents leak,Weekly World News,Jessica Feshbach,CBS News Sunday Morning,Black Legend,Media Matters for America,The Daily Stormer,Tokenism,Allen & Company,Beck v. Eiland-Hall,Bleach,Tucker Carlson,Henry Luce,Propaganda,Satanic panic (South Africa),new york times,war,cbs,post,reporting,find,births by decade,,states,isbn,msnbc,times,president,politics of the united states,the new york times,media in the united states,american,propaganda,life,claim,production,abc news,american journalists,pulitzer prize,years
kmeans_augmented_c5_g12,5,media,Subliminal stimuli,Kirsty Gallacher,Film,Assistant director,Primetime Emmy Award for Outstanding Animated Program,Scenic design,Defy Media,Toronto International Film Festival,Zoo TV Tour,GLAAD,Women in music,Celebrity,Television advertisement,Key grip,Mixtape,Channel Awesome,Vanilla,Scandal,Viral video,Home video,Hotel Transylvania (franchise),Northern soul,Lighting technician,Self-publishing,Directors Guild of America,Popular music,Doctor Doom in other media,Andy Warhol,Documentary film,Vision (Marvel Comics),Web series,entertainment,years,music,abc,april,production,fox,filmmaking,character,screenplay,jazz,artists,released,youtube,arts,broadcasting,features,films,entertainment occupations,,film,,film theory,programme,film
LDA_c6_g31,6,media,A&E Networks,Niconico,Guardian Media Group,Federal Communications Commission,Telepictures,Hubbard Broadcasting,Logo of NBC,Prometheus Global Media,Defy Media,StarPlus,Canadian Broadcasting Corporation,Naming rights,Mazhavil Manorama,GMA Network (company),TV5 Network,Firing of Shirley Sherrod,Blaze Media,Network18 Group,Telewizja Polska,Vice News,Movies Anywhere,Commercial broadcasting,El Rey Network,Viacom,Google Videos,Deutsche Welle,EMI,Vanilla,Rush Limbaugh–Sandra Fluke controversy,17 (app),Leaf Group,cable television,united states,tv,,media companies by country,programming,,,,channel,,india,company,media companies by year of establishment,youtube,news,television by country,network,television networks by country,television by year,service,,launched,broadcast,pay television
LDA_c2_g1,2,media,Multichannel marketing,Heart (symbol),Panel discussion,Publicity stunt,Censorship in the Soviet Union,Models of communication,Media portrayal of LGBT people,Whataboutism,Manuel Castells,Propaganda techniques,Digital media,Alternative media,Information design,Information overload,Corporate media,Censorship in China,Jean Baudrillard,Pandit,Social media in education,Communication ethics,Political communication,Barbie Liberation Organization,Culture jamming,Fairness and Accuracy in Reporting,Slogan,Baby Powder,Old media,Press release,Silence,Entertainment,Non-apology apology,social_media,people,research,social media,,communication,marketing,use,society,,,communication studies,references,communication,behavior,,mass media,medium,social,studies,,,advertising,information,social sciences
kmeans_augmented_c5_g19,5,media,Executive producer,Elijah Daniel,Grip (job),Ingmar Bergman,Silence,EMI Music Publishing,Cross-genre,Location manager,Travel documentary,Scenic design,Cinematography,Best boy,"Wizard People, Dear Reader",YouTube Rewind,Entertainment,Travel documentary,Production designer,Web series,Channel Awesome,Leo Burnett,Music,Diapers,Grip (job),Rock and roll,Directors Guild of America,Publicist,Tyler Brûlé,Gimmick,Kirsty Gallacher,Andy Warhol,All Songs Considered,entertainment occupations,entertainment,fox,production,film theory,years,artists,programme,films,features,,film,,april,jazz,music,character,broadcasting,screenplay,released,filmmaking,film,arts,youtube,abc
kmeans_plain_c1_g3,1,media,I (newspaper),Media of the United Kingdom,News Corp Australia,Antena 3 (Spain),Public inquiry,RTL Group,Gazette,UBM plc,Bell Pottinger,Al Mayadeen,Yle,Televisión Española,Baby Powder,Anadolu Agency,Hibu,Middle East Broadcasting Center,La Repubblica,Press Holdings,MediaCityUK,Lists of newspapers,Country code top-level domain,ABS-CBN News Channel,NOS (Portuguese media company),Media freedom in Russia,Anadolu Agency,Economist Group,Algemeen Dagblad,Concentration of media ownership,Media of Turkey,Pier Silvio Berlusconi,Berliner (format),government,russian,community,edition,,media in europe by country,establishments by country and year,serve,bbc,media by country,newspaper,radio station,london,media,united kingdom,establishments in europe by year,establishments by year and country,news,group,broadcast,bbc,reference,regional,service,reporters without borders
