technology_group_id,country,project,technology_article_0,technology_article_1,technology_article_2,technology_article_3,technology_article_4,technology_article_5,technology_article_6,technology_article_7,technology_article_8,technology_article_9,technology_article_10,technology_article_11,technology_article_12,technology_article_13,technology_article_14,technology_article_15,technology_article_16,technology_article_17,technology_article_18,technology_article_19,technology_article_20,technology_article_21,technology_article_22,technology_article_23,technology_article_24,technology_article_25,technology_article_26,technology_article_27,technology_article_28,technology_article_29,technology_article_30,technology_label_0,technology_label_1,technology_label_2,technology_label_3,technology_label_4,technology_label_5,technology_label_6,technology_label_7,technology_label_8,technology_label_9,technology_label_10,technology_label_11,technology_label_12,technology_label_13,technology_label_14,technology_label_15,technology_label_16,technology_label_17,technology_label_18,technology_label_19,technology_label_20,technology_label_21,technology_label_22,technology_label_23,technology_label_24
kmeans_augmented_c3_g14,3,technology,Transport,State of the art,Information system,3D printing,Petroleum engineering,Robot,Technology readiness level,Quality management,Troubleshooting,Software development process,Applied science,Technological and industrial history of the United States,Technology acceptance model,Biometrics,Innovation,Reliability engineering,Growth hacking,Medical laboratory,Technical support,Chemical engineering,Elon Musk,Electrical engineering,Computer simulation,Robotics,Nanotechnology,Control system,Arcology,Braces,Environmental science,Industrial engineering,Software testing,human,main topic classifications,number,information technology,introduce,technological change,institute,like,management,academic disciplines,information,university,app,,innovation,engineering,computer,,technology,research,science,technology,technological,society,sell
kmeans_plain_c2_g24,2,technology,Necklace,IPhone,IPod Classic,3D computer graphics,Bandwidth (computing),Biometric passport,OS X Yosemite,Smart TV,NetApp,Miracast,Ringtone,Radio-frequency identification,Bomis,Pono (digital music service),Linux,Verizon Wireless,Consumer Electronics Show,IBM System i,San Francisco,Rebel Heart Tour,Amlogic,IPod Nano,IPod,BIOS,IPhone SE,Display resolution,Internet Archive,Novell,Magic Leap,Laptop,Application programming interface,wi-fi,released,,android,android ,computer-related introductions by year,apple inc.,announced,mobile phones,company,smartphone,software,services,building,users,phone,computers,unit,product introductions by year,technology by year,google,steam,cut,support,motor
kmeans_plain_c5_g21,5,technology,Rolling (metalworking),Oil refinery,Flow measurement,Ventricular assist device,Wastewater treatment,Particle board,Foam,Pressure vessel,Passivation (chemistry),Waste-to-energy,Syngas,Engineering tolerance,Solar thermal energy,Abrasive blasting,Lead–acid battery,Check valve,O-ring,Electrical discharge machining,Fiberglass,Piping and plumbing fitting,Drain-waste-vent system,Electric heating,Old Town Road,Induction heating,Injection moulding,Biodegradable plastic,Thermal expansion valve,Nondestructive testing,Anemometer,Solar water heating,Thermoelectric generator,,metal,chemistry,valve,manufacturing,battery,,electricity,material,temperature,process,pressure,processes,polymer,,plastic,industrial processes,water,fire,output,flow,tube,building engineering,materials,chemical engineering
kmeans_plain_c4_g24,4,technology,Lightning rod,Laundry,Crossbow,Loader (equipment),Camping,Bronze Age,Glass,Sextant,Conveyor belt,Printing,Technical drawing,Suspension bridge,Wootz steel,Crane (machine),Beacon,CN Tower,Vending machine,Balloon,Porcelain,Tool,Plywood,Limelight,Slide rule,Drill,History of the firearm,Agricultural machinery,Paper size,Adhesive,Bumblebee,Stone tool,Timeline of United States inventions (before 1890),manufactured goods,,paper,printing,tools,inventor,machine,produced,industrial revolution,establish,invented,focus,references,wood,england,communication,hardlines (retail),,idea,,equipment,century,history,inventions by country,term
kmeans_augmented_c4_g2,4,technology,IPod,Ben Thompson (writer),Serum,Hewlett-Packard,IOS,Multi-core processor,Smart TV,High Efficiency Image File Format,Avaya,Motorola,Snap Inc.,Mojibake,Sun Microsystems,MacOS Sierra,QR code,Bleacher Report,Open-source hardware,Java servlet,Transport Layer Security,Microsoft,Wi-Fi Direct,Haptic technology,Contactless payment,Broadridge Financial Solutions,IPhone 6S,PlayStation,Sony Mobile,Video game,Firmware,Android One,Walkman,computer-related introductions by year,android,android ,users,steam,product introductions by year,features,phone,motor,released,,google,company,computers,announced,smartphone,software,support,technology by year,apple inc.,wi-fi,mobile phones,building,unit,cut
kmeans_plain_c4_g20,4,technology,Tool,Stopwatch,Timeline of United States inventions (before 1890),Petronas Towers,Abdomen,Hot air balloon,Prosthesis,Machine tool,Blueprint,Paper size,Concrete mixer,Home appliance,Corrugated fiberboard,Scalpel,Barbed wire,Technical drawing tool,FieldTurf,Abacus,Backhoe,Orthotics,Pigment,Three-age system,Microwave oven,Composting toilet,Wallpaper,Daguerreotype,Overhead line,Edison screw,Typewriter,Flint,Watt steam engine,inventions by country,establish,inventor,,,manufactured goods,references,produced,machine,printing,century,wood,term,hardlines (retail),industrial revolution,invented,england,paper,idea,history,communication,,equipment,focus,tools
kmeans_plain_c3_g13,3,technology,Vehicle,Exhaust gas recirculation,Fuel cell vehicle,Reciprocating engine,Power steering,V12 engine,Traction control system,VTEC,Petrol engine,Bogie,Starter (engine),Four-stroke engine,Abdomen,Flat engine,Automotive battery,Shock absorber,Carburetor,Turbocharger,Automobile air conditioning,Formula One car,Forklift,Diesel engine,Cummins B Series engine,Steering,Tachometer,Dynamo,Chassis,Radiator (engine cooling),Gasoline direct injection,Governor (device),VR6 engine,approach,vehicle technology,motors,vehicles,engine,speed,value,function,engines,,internal combustion engine,case,car,element,volkswagen group,automotive technologies,cylinder,automobile,vehicle,vehicle parts,cylinder ,crankshaft,engines,cars,automotive industry
kmeans_plain_c4_g16,4,technology,Street light,Old Town Road,Wallpaper,Camera obscura,Bunsen burner,History of books,Weighing scale,Fiber,Paperboard,Timeline of United States inventions (before 1890),Candle,Samuel Morse,Skeleton key,Orthotics,Glass,Seismometer,Slot machine,Canal,Chronograph,Catapult,Microwave oven,Toilet,Incandescent light bulb,Fountain pen,Home appliance,World's fair,Thomas Edison,Lighter,Porcelain,Plywood,Concrete mixer,invented,communication,inventions by country,machine,idea,equipment,printing,references,,manufactured goods,,paper,inventor,england,tools,focus,wood,produced,,term,establish,industrial revolution,hardlines (retail),history,century
LDA_c0_g3,0,technology,IBM,5 nanometer,MQTT,FreeBSD,Sony Mobile,HTTP Live Streaming,Sony,Sony Crackle,IPhone 6S,Whitney Wolfe Herd,Limbo,Hyper-threading,Growth hacking,IPhone,Loon (company),OS X El Capitan,Multi-core processor,Decentralization,Bomis,Science and technology in India,Public relations,Computer network,7 nanometer,Barcode reader,Computer data storage,Altran,Novell,Disruptive innovation,HBO Go,Foxconn,Graphics,computers,united states,,new,,companies by industry and year of establishment,wi-fi,,services,,,service,research,business,computer-related introductions by year,android ,university,smartphone,technology,system,technology by year,mobile phones,company,apple inc.,
LDA_c6_g15,6,technology,Gas lighting,Escalator,Mary Babnik Brown,Camping,History of printing,Luddite,Ship breaking,Bronze Age,Serum,Elevator,Machine tool,Kiln,Metal detector,Barbed wire,Loader (equipment),Sewing machine,Plotter,Conveyor belt,Muslim world,Rolling (metalworking),Papermaking,Paper size,Wheel,Laundry,Benjamin Franklin,Canal,Samuel Morse,Stone tool,Hydraulic press,Necessity is the mother of invention,History of the firearm,england,tools,construction,machines,mill,iron,early,design,tool,kent,works,work,,construction,steel,hardlines (retail),equipment,,large,machine,industrial revolution,references,history,century,history of technology
LDA_c4_g9,4,technology,Immobiliser,Fuel cell,Pneumatics,Manual transmission,Ball bearing,VTEC,Propeller,Engineering fit,Centrifugal pump,Forklift,Gas cylinder,Check valve,Pressure regulator,Cubic centimetre,Oxygen sensor,Actuator,Abdomen,Lawn mower,Crankshaft,Governor (device),Machine,Recumbent bicycle,Simple machine,Chassis,VR6 engine,Pulley,Flat engine,Turbofan,Volkswagen air-cooled engine,Diesel engine,Automotive industry,cylinder ,power,vehicle parts,system,valve,speed,machines,vehicle,engine,vehicle technology,engines,cars,design,,automobile,,engines,car,cylinder,motors,rotating machines,pressure,internal combustion engine,,crankshaft
kmeans_plain_c5_g15,5,technology,Milling (machining),Oxy-fuel welding and cutting,Centrifugal pump,Tensile testing,Self-contained breathing apparatus,Arc welding,Smelting,Rebar,Dangerous goods,Drilling rig,Electrostatic precipitator,Fatigue (material),Francis turbine,Ventricular assist device,Sand casting,Carbon fiber reinforced polymer,Glass production,Pressure regulator,Pyrolysis,Distillation,Solar water heating,Piping and plumbing fitting,Plastic bag,Oil refinery,Wind turbine,Heat pump,Gas cylinder,Vapor-compression refrigeration,Bumblebee,Photovoltaic system,Mineral wool,battery,electricity,pressure,valve,polymer,water,tube,plastic,chemistry,materials,,manufacturing,process,output,industrial processes,,flow,temperature,fire,processes,,material,building engineering,metal,chemical engineering
LDA_c0_g6,0,technology,OS X Mavericks,GSM,General Electric,Amlogic,System administrator,Intuit,Biometrics,YouTube Premium,X (company),IBM System i,"Science, technology, engineering, and mathematics",Research and development,Information and communications technology,Computer,École Polytechnique,Institute of Electrical and Electronics Engineers,Smartphone,Michele Romanow,Theranos,Autonomous car,I Am Rich,Electronic cigarette,Broadridge Financial Solutions,Samsung Galaxy J series,Necklace,Hitachi Magic Wand,History of video games,Server (computing),Haptic technology,Hyperloop,Memory card,,service,research,services,,university,computer-related introductions by year,apple inc.,,,system,smartphone,wi-fi,united states,,companies by industry and year of establishment,mobile phones,technology by year,android ,new,company,technology,computers,,business
kmeans_augmented_c3_g9,3,technology,Electrical engineering,Research,Engineering,Bumblebee,Code,Recommender system,Drake equation,Business analytics,Prototype,Safety,Software engineering,Requirement,Machine,Geek,Technology readiness level,Global issue,Human factors and ergonomics,Programmer,3D printing,Biotechnology,Computer simulation,Laboratory,Distributed ledger,Industry,Image,Pharmacology,Knowledge representation and reasoning,Societal collapse,Arcology,Technological and industrial history of the United States,Technology,engineering,human,computer,science,information technology,management,institute,,society,technology,research,introduce,technology,technological,sell,,information,like,university,app,technological change,academic disciplines,number,main topic classifications,innovation
LDA_c3_g13,3,technology,Software engineering,Mechanical engineering,Troubleshooting,Fourth-generation programming language,Old Town Road,Theory of constraints,Nondestructive testing,Computer engineering,Service-level agreement,Failure mode and effects analysis,Laboratory information management system,Software design,3D computer graphics,Rebreather,Health,Applied science,Risk assessment,Requirement,Reverse engineering,Document management system,Software development process,Product lifecycle,Transhumanism,Product design,Metrology,Automation,Calibration,ITIL,Productivity,Slide rule,New product development,analysis,model,,technology,information technology,,system,systems science,management by type,,product,main topic classifications,subfields by academic discipline,systems,design,management,process,information,references,examples,,academic disciplines,example,requirements,engineering
LDA_c4_g2,4,technology,Start-stop system,Automobile air conditioning,Cummins B Series engine,Radial engine,Camshaft,Tire-pressure monitoring system,Tram,Water turbine,Audi S and RS models,Simple machine,Sump pump,Pulley,Reciprocating engine,Centrifugal compressor,Power steering,History of the internal combustion engine,Fuel cell vehicle,Motor vehicle,Four-stroke engine,Charging station,Dual-clutch transmission,Inclined plane,Fuel cell,Power station,Governor (device),Tachometer,Ford Model T,Steering,Automotive battery,Sailor Moon,Geothermal power,engines,car,automobile,cars,,,cylinder,machines,pressure,valve,design,engine,speed,internal combustion engine,crankshaft,vehicle parts,cylinder ,power,engines,vehicle,rotating machines,system,motors,vehicle technology,
kmeans_plain_c5_g20,5,technology,Thermoplastic elastomer,Anodizing,Vacuum pump,Boiling water reactor,Tensile testing,Energy storage,Biodiesel,Pyrolysis,Electric arc furnace,Thermal insulation,Engineering fit,Concentrated solar power,Cavitation,Cylinder stress,Absorption refrigerator,Heat exchanger,Numerical control,Geotechnical engineering,Evaporative cooler,Centrifugal fan,Glass production,Thermosetting polymer,Waterproofing,Photovoltaic system,Fibre-reinforced plastic,Insecticide,Fertilizer,Power station,Ice pack,The Lion King,Spot welding,manufacturing,industrial processes,output,flow,material,polymer,chemical engineering,,water,valve,,fire,electricity,materials,battery,chemistry,process,temperature,building engineering,metal,tube,pressure,processes,,plastic
kmeans_plain_c2_g1,2,technology,Tim Berners-Lee,Television set,Smart TV,Dell EMC,Planned obsolescence,Dell,Kara Swisher,IPod Nano,Walkman,OS X Mavericks,Plotter,Theranos,Single-page application,Smartphone,Hard disk drive,Web application,Braces,Display resolution,Digital camera,Computer data storage,3D computer graphics,Samsung Galaxy Note series,X (company),Graphing calculator,Xamarin,Fitbit,Pono (digital music service),Swift (programming language),Biometric passport,Speech recognition,Xiaomi,phone,announced,technology by year,mobile phones,wi-fi,google,,steam,software,released,unit,android ,company,computers,smartphone,motor,android,computer-related introductions by year,cut,apple inc.,product introductions by year,support,services,users,building
LDA_c5_g0,5,technology,Depth charge,Gimbal,Telescope,Serum,Trinity (nuclear test),Time-of-flight camera,Magnetic resonance imaging,Hydraulic head,Geiger counter,Machine pistol,Image,Aerospace,Thermography,Robotics,Torpedo,Quantum logic gate,Flight instruments,Spectroscopy,Avionics,Gyroscope,Atomic clock,Directed-energy weapon,Unmanned aerial vehicle,Accelerometer,Mars Orbiter Mission,Boiling water reactor,Theodolite,Nuclear weapons testing,Recoilless rifle,Limpet mine,Electric aircraft,war,measuring instruments,measurement,,sensor,,weapon,force,radar,system,military technology,submarine,range,,optics,design,image,world war ii,effect,laser,target,aircraft,weapons,flight,united
LDA_c2_g12,2,technology,Data transmission,Electrical engineering,Display resolution,Traffic light,Edison screw,Charge-coupled device,Heliograph,Electric motor,Sensor,Transmitter,Sodium-vapor lamp,Surface-mount technology,Plasma display,Lightning rod,Surge protector,Power inverter,Arithmetic logic unit,HDMI,AC power plugs and sockets,Inductor,Photoresistor,Seismometer,Ferrite bead,Bumblebee,Solar thermal energy,Wavelength-division multiplexing,Electrical grid,Micrometer,Electronic engineering,Electronics,Load cell,power,signals,electrical engineering,alternating current,,electricity,devices,device,voltage,system,,frequency,transistor,circuit,light,design,electronics,,magnetic field,,electromagnetism,electronics,electrical components,,signal
kmeans_plain_c0_g8,0,technology,Machine pistol,NASA,Little Boy,Nuclear electromagnetic pulse,Powered exoskeleton,Mary Babnik Brown,Trinity (nuclear test),Military,Limbo,Limpet mine,Project Habakkuk,Jet engine,Anti-aircraft warfare,Nuclear weapons testing,Electronic warfare,Recoilless rifle,Avionics,Concertina wire,Thermobaric weapon,Muzzle brake,Autocannon,Torpedo,Gimbal,Unmanned aerial vehicle,Technology during World War II,Pykrete,Rifling,Harrier Jump Jet,Nuclear weapon design,Pitot tube,Directed-energy weapon,aircraft,united,force,military technology,radar,remove,part,submarine,,dry,aircraft,navy,british,fiber,weapons,,flight,weapon,world war ii,aerospace engineering,war,ship,,military science,particle
LDA_c0_g31,0,technology,I Am Rich,Post-it Note,IBM Personal Computer,American Revolutionary War,Electronic cigarette,Essential Phone,Active Directory,M-Pesa,IOS,Clarke's three laws,Microsoft Windows,Blockchain,Applications of artificial intelligence,YouTube,Walkman,IPod Classic,Y Combinator,Research and development,Chief technology officer,Motorola Mobility,Pono (digital music service),IPod,Backward compatibility,Windows Phone,Mobile phone tracking,Slow movement (culture),Oracle Corporation,"Science, technology, engineering, and mathematics",John McAfee,History of Google,Wired (magazine),business,computers,apple inc.,,united states,,mobile phones,,technology,technology by year,wi-fi,companies by industry and year of establishment,,,company,services,,service,smartphone,system,new,university,research,android ,computer-related introductions by year
kmeans_augmented_c1_g21,1,technology,Calorimeter,Sintering,Coordinate-measuring machine,Absorption refrigerator,Electrical discharge machining,Thermal insulation,Piping and plumbing fitting,Kevlar,Passivation (chemistry),Energy storage,Power station,Self-contained breathing apparatus,Expansion joint,Personal protective equipment,Milling (machining),Thermoplastic,Water turbine,Compressive strength,Foam,Boiling water reactor,Heat pump,Elastomer,Electric heating,Rebar,Carbon dioxide removal,Engineered wood,Fuel cell,Fibre-reinforced plastic,Braces,Algae fuel,Abrasive blasting,flow,building materials,polymer,tube,battery,valve,processes,,output,electricity,metal,fire,chemistry,pressure,temperature,plastic,process,building engineering,manufacturing,water,high,material,industrial processes,materials,
LDA_c1_g21,1,technology,Composite material,Sol–gel process,Oil well,Mushroom cloud,Serum,Home appliance,Air fryer,Waste-to-energy,Crystallography,Lubricant,Waterproofing,Thermoplastic elastomer,Ice pack,Glow stick,Offset printing,Heat pump,Submersible pump,Materials science,Arc welding,Glass,Fertilizer,Thermosetting polymer,Kevlar,Quantum dot display,Engineered wood,Calorimeter,Oriented strand board,Nickel–cadmium battery,Drain-waste-vent system,Solar cell,Recycling,materials,temperature,metal,,process,water,,material,chemistry,glass,materials,paper,industrial processes,polymer,,,produce,,,manufacturing,artificial materials,surface,,plastic,
kmeans_augmented_c0_g8,0,technology,Stirling engine,Tire-pressure monitoring system,Flat engine,Dual-clutch transmission,MAN SE,Starter (engine),Carburetor,Engine,Gasoline direct injection,Forklift,Traction control system,Clutch,Automobile air conditioning,Gasoline direct injection,Mass flow sensor,Tachometer,Automotive industry,Scania AB,Scania AB,Cubic centimetre,Ford Model T,History of the internal combustion engine,Gear train,Leaf spring,Old Town Road,Air–fuel ratio,Limited-slip differential,Ford Model T,On-board diagnostics,Crankshaft,Internal combustion engine,cylinder,cars,,vehicles,car,engines,speed,vehicle parts,automotive technologies,internal combustion engine,approach,element,function,vehicle,case,vehicle technology,automotive industry,engines,automobile,value,engine,crankshaft,cylinder ,volkswagen group,motors
kmeans_augmented_c4_g9,4,technology,Network interface controller,John McAfee,IPod Nano,Samsung Galaxy Note series,Jawed Karim,Computer data storage,Broadridge Financial Solutions,Plotter,TomTom,Sony Mobile,Wi-Fi,Microprocessor,Microsoft Windows,Electronic Data Systems,VHS,Mobile phone,IPhone,Mobile payment,IBM Personal Computer,Walkman,PlayStation,Steam (software),Tim Berners-Lee,Open-source hardware,Sony,Ben Thompson (writer),Application programming interface,Sailor Moon,Multi-core processor,Smart TV,Google,phone,android ,wi-fi,steam,computers,unit,company,users,features,apple inc.,software,cut,mobile phones,smartphone,google,building,android,computer-related introductions by year,motor,announced,released,support,,product introductions by year,technology by year
kmeans_plain_c2_g19,2,technology,Pixel (smartphone),Active Directory,Memory card,Novell,Juul,Windows Phone,GPS navigation device,Vimeo,Michele Romanow,Dell EMC,BIOS,Oracle Corporation,Yahoo! Japan,Digital camera,PlayStation Vita,CA Technologies,Gorilla Glass,Mobile payment,TomTom,Skunkworks project,Speech recognition,Foxconn,Multi-core processor,Java servlet,Abdomen,Chief technology officer,Acer Inc.,IPod Nano,Stingray phone tracker,Smart card,Google Play,announced,computer-related introductions by year,android ,phone,technology by year,building,google,services,steam,computers,support,smartphone,motor,android,released,software,cut,wi-fi,company,product introductions by year,,users,mobile phones,unit,apple inc.
LDA_c6_g2,6,technology,Escalator,Hook-and-loop fastener,History of books,Artificial turf,Pykrete,Gas lighting,Printing,Victoria and Albert Museum,Structural engineering,Robot,Mimeograph,Wheel,Factory,Necessity is the mother of invention,Castile soap,Photography,Rolling (metalworking),Scalpel,Industry,Daguerreotype,Abacus,Textile industry,Prosthesis,Timeline of United States inventions (before 1890),Societal collapse,Pen,Orthotics,Machining,Drill,Numerical control,American Revolutionary War,tool,hardlines (retail),early,kent,equipment,mill,history of technology,england,steel,large,,,work,works,references,iron,history,design,industrial revolution,machine,construction,tools,machines,century,construction
kmeans_plain_c5_g18,5,technology,Load cell,Distillation,Sump pump,Sailor Moon,Water treatment,Oxy-fuel welding and cutting,Galvanization,Shell and tube heat exchanger,Polylactic acid,Smelting,Lubricant,Personal protective equipment,Fatigue (material),Electrostatic precipitator,Vapor-compression refrigeration,Submersible pump,Exhaust gas,Centrifugal pump,Shape-memory alloy,Dye penetrant inspection,Drilling rig,Sump pump,Rebar,Machining,Calorimeter,Pressure regulator,Chemical industry,Heat pump,Inconel,Electrical discharge machining,Engineering drawing,tube,fire,material,valve,building engineering,,processes,materials,electricity,pressure,polymer,chemistry,,output,industrial processes,water,battery,temperature,,manufacturing,process,plastic,metal,chemical engineering,flow
