,label,tfidf,pmi,country,h_cat,alg,kmeans_plain
60,edible plants,0.02464944998268968,0.07612675226764047,6,1,kmeans_plain,1
61,plants and humans,0.02163682976832782,0.07529928756907917,6,1,kmeans_plain,1
62,flora by continent,0.02016713555633372,0.07575792110355307,6,1,kmeans_plain,1
63,plant products,0.019240575862265852,0.06869386948574815,6,1,kmeans_plain,1
64,types of food,0.018521687617490387,0.061852986217457884,6,1,kmeans_plain,1
65,vegan cuisine,0.01828844065537137,0.05997865330177734,6,1,kmeans_plain,1
66,ethnobotany,0.018238543570538175,0.06758872679401413,6,1,kmeans_plain,1
67,crops,0.017681892993379765,0.06688564388869461,6,1,kmeans_plain,1
68,flora by country,0.01745570051164052,0.06856845329249617,6,1,kmeans_plain,1
69,flora of asia,0.015609640078483322,0.06378589203675343,6,1,kmeans_plain,1
70,chemical substances,0.013882278782651872,0.06879224342733911,0,1,kmeans_plain,1
71,determinants of health,0.014242320385891408,0.06745658714831548,0,1,kmeans_plain,1
72,categories by company,0.008822861975694088,0.028916614189756506,1,1,kmeans_plain,1
73,chefs by nationality,0.00884540170788036,0.04916543321455173,2,1,kmeans_plain,1
74,chefs,0.008693512776642442,0.04855352116762905,2,1,kmeans_plain,1
75,beer by country,0.01136277465097806,0.05833416639474285,3,1,kmeans_plain,1
76,fauna by sea or ocean,0.018200525832881388,0.20118835835764606,4,1,kmeans_plain,1
77,crustaceans,0.01811157327331188,0.198742299289468,4,1,kmeans_plain,1
78,edible crustaceans,0.01768051080908478,0.1954401195474276,4,1,kmeans_plain,1
79,crustaceans and humans,0.01768051080908478,0.1954401195474276,4,1,kmeans_plain,1
80,arthropods as food,0.018878807903859367,0.19449520357862457,4,1,kmeans_plain,1
81,european cuisine,0.013460900687962966,0.037110498663103966,5,1,kmeans_plain,1
82,foods by cooking technique,0.012570338763045169,0.03679856052744335,5,1,kmeans_plain,1
83,biota of asia,0.014606661913803507,0.06164472700460449,6,1,kmeans_plain,1
