,label,tfidf,pmi,country,h_cat,alg,kmeans_augmented
30,companies by industry and year of establishment,0.012073334151378406,0.03379536947498805,3,1,kmeans_augmented,1
31,food product brands,0.010679388224702059,0.031695466268059226,3,1,kmeans_augmented,1
32,food and drink companies by year of establishment,0.01051320440853211,0.03086312895234776,3,1,kmeans_augmented,1
33,brands,0.010387318513913028,0.03155160628844839,3,1,kmeans_augmented,1
34,establishments in the united states by year,0.009968341022904965,0.030695843382040008,3,1,kmeans_augmented,1
35,brands by product type,0.009966146469777155,0.0322168829331393,3,1,kmeans_augmented,1
36,companies established in the 20th century,0.009932542609305345,0.030671527916750048,3,1,kmeans_augmented,1
37,companies by year of establishment,0.00988108976059863,0.03019701228579767,3,1,kmeans_augmented,1
38,establishments in the united states by state,0.009700693556244236,0.030456826708919412,3,1,kmeans_augmented,1
39,food and drink companies established in the 20th century,0.008994154758193589,0.028689787227404614,3,1,kmeans_augmented,1
40,alcoholic drinks by country,0.021283537585553135,0.0939387476190363,4,1,kmeans_augmented,1
41,alcoholic drinks,0.02058959858913212,0.08782255591771182,4,1,kmeans_augmented,1
42,fermented drinks,0.019332802272801184,0.08373093884625524,4,1,kmeans_augmented,1
43,wine,0.015662085690639243,0.07305147446342633,4,1,kmeans_augmented,1
44,alcohol,0.01479111800394657,0.06959597285631568,4,1,kmeans_augmented,1
45,drinking culture,0.014647949027834836,0.06784904704132001,4,1,kmeans_augmented,1
46,alcohol by country,0.014484453250938079,0.07142232888046142,4,1,kmeans_augmented,1
47,beer,0.01326542873796896,0.06613603427712374,4,1,kmeans_augmented,1
48,drug culture,0.012412633113109372,0.05681030764426755,4,1,kmeans_augmented,1
49,distilled drinks,0.012395188311631129,0.06317316509053086,4,1,kmeans_augmented,1
50,fishing,0.038768918345361066,0.3056119760906384,5,1,kmeans_augmented,1
51,fishing industry,0.03739773527670917,0.3002534812464365,5,1,kmeans_augmented,1
52,animal-based seafood,0.03314581600590423,0.2821162111224749,5,1,kmeans_augmented,1
53,primary industries,0.03182139419297974,0.1981482688247786,5,1,kmeans_augmented,1
54,seafood,0.02840579768991627,0.20423210607202205,5,1,kmeans_augmented,1
55,edible shellfish,0.02778014626475336,0.2690231846712544,5,1,kmeans_augmented,1
56,meat,0.022100845326588837,0.09756063665374035,5,1,kmeans_augmented,1
57,maritime culture,0.02178215291131138,0.202264352514533,5,1,kmeans_augmented,1
58,animal products,0.02105872198919921,0.10872086870586856,5,1,kmeans_augmented,1
59,animals described in the 18th century,0.020016377887609276,0.21411653839674866,5,1,kmeans_augmented,1
60,edible plants,0.024691042857334502,0.07628642043029611,6,1,kmeans_augmented,1
61,plants and humans,0.021673339221840875,0.07546736060176631,6,1,kmeans_augmented,1
62,flora by continent,0.020201165084040375,0.07593480664594061,6,1,kmeans_augmented,1
63,plant products,0.019273041935971166,0.06884944164541423,6,1,kmeans_augmented,1
64,types of food,0.018552940656881765,0.06198798189587954,6,1,kmeans_augmented,1
65,vegan cuisine,0.018319300119585064,0.06010832018261818,6,1,kmeans_augmented,1
66,ethnobotany,0.01826931883964017,0.06774522122698011,6,1,kmeans_augmented,1
67,crops,0.01771172898401133,0.06704249621566818,6,1,kmeans_augmented,1
68,flora by country,0.017485154830650804,0.06873324918934381,6,1,kmeans_augmented,1
69,flora of asia,0.015635979400597654,0.06394347862224103,6,1,kmeans_augmented,1
70,chemical substances,0.013690068470499455,0.06754766644125529,0,1,kmeans_augmented,1
71,european cuisine,0.013417173900167544,0.036943691113588584,1,1,kmeans_augmented,1
72,foods by cooking technique,0.01252950490293804,0.03662273804962399,1,1,kmeans_augmented,1
73,chefs by nationality,0.008856856390931625,0.04922910182714274,2,1,kmeans_augmented,1
74,chefs,0.00870477076545372,0.048616397361878394,2,1,kmeans_augmented,1
75,categories by company,0.008817827447848129,0.02890011370502148,3,1,kmeans_augmented,1
76,beer by country,0.01136277465097806,0.05833416639474285,4,1,kmeans_augmented,1
77,fauna by sea or ocean,0.019048547428628614,0.21452279812147437,5,1,kmeans_augmented,1
78,crustaceans,0.01895545028047938,0.21186616904257066,5,1,kmeans_augmented,1
79,edible crustaceans,0.018504303216382086,0.2083935753180037,5,1,kmeans_augmented,1
80,crustaceans and humans,0.018504303216382086,0.2083935753180037,5,1,kmeans_augmented,1
81,fish by year of formal description,0.018141622400545208,0.20746729405831518,5,1,kmeans_augmented,1
82,biota of asia,0.014631308835271806,0.06180076564479462,6,1,kmeans_augmented,1
